k,training_error,leave_one_out_error,testing_error
1,0.0,0.03169014084507042,0.06338028169014084
2,0.0,0.03169014084507042,0.06338028169014084
3,0.017605633802816902,0.03169014084507042,0.045774647887323945
4,0.01056338028169014,0.028169014084507043,0.045774647887323945
5,0.017605633802816902,0.028169014084507043,0.0528169014084507
6,0.014084507042253521,0.028169014084507043,0.04929577464788732
7,0.02112676056338028,0.03873239436619718,0.056338028169014086
8,0.017605633802816902,0.035211267605633804,0.0528169014084507
9,0.03169014084507042,0.045774647887323945,0.0528169014084507
10,0.02464788732394366,0.045774647887323945,0.04929577464788732
11,0.04225352112676056,0.04225352112676056,0.045774647887323945
12,0.02112676056338028,0.035211267605633804,0.04929577464788732
13,0.03169014084507042,0.03873239436619718,0.04929577464788732
14,0.03169014084507042,0.03873239436619718,0.04929577464788732
15,0.035211267605633804,0.04225352112676056,0.0528169014084507
16,0.028169014084507043,0.04225352112676056,0.045774647887323945
17,0.035211267605633804,0.03873239436619718,0.056338028169014086
18,0.035211267605633804,0.045774647887323945,0.0528169014084507
19,0.03873239436619718,0.04225352112676056,0.056338028169014086
20,0.03873239436619718,0.045774647887323945,0.0528169014084507
21,0.04225352112676056,0.04225352112676056,0.056338028169014086
22,0.03873239436619718,0.045774647887323945,0.056338028169014086
23,0.04225352112676056,0.045774647887323945,0.05985915492957746
24,0.04225352112676056,0.045774647887323945,0.056338028169014086
25,0.045774647887323945,0.0528169014084507,0.056338028169014086
26,0.045774647887323945,0.0528169014084507,0.056338028169014086
27,0.0528169014084507,0.0528169014084507,0.05985915492957746
28,0.04929577464788732,0.0528169014084507,0.056338028169014086
29,0.0528169014084507,0.056338028169014086,0.05985915492957746
30,0.0528169014084507,0.0528169014084507,0.05985915492957746
31,0.0528169014084507,0.0528169014084507,0.056338028169014086
32,0.0528169014084507,0.0528169014084507,0.056338028169014086
33,0.04929577464788732,0.056338028169014086,0.05985915492957746
34,0.0528169014084507,0.0528169014084507,0.0528169014084507
35,0.0528169014084507,0.0528169014084507,0.05985915492957746
36,0.0528169014084507,0.0528169014084507,0.056338028169014086
37,0.04929577464788732,0.0528169014084507,0.056338028169014086
38,0.0528169014084507,0.0528169014084507,0.0528169014084507
39,0.0528169014084507,0.06338028169014084,0.0528169014084507
40,0.0528169014084507,0.05985915492957746,0.0528169014084507
41,0.05985915492957746,0.06338028169014084,0.05985915492957746
42,0.056338028169014086,0.05985915492957746,0.056338028169014086
43,0.05985915492957746,0.06690140845070422,0.05985915492957746
44,0.05985915492957746,0.06690140845070422,0.05985915492957746
45,0.06690140845070422,0.07394366197183098,0.05985915492957746
46,0.06338028169014084,0.06690140845070422,0.05985915492957746
47,0.06690140845070422,0.06690140845070422,0.05985915492957746
48,0.06690140845070422,0.06690140845070422,0.05985915492957746
49,0.06690140845070422,0.07042253521126761,0.06690140845070422
50,0.06338028169014084,0.06690140845070422,0.056338028169014086
51,0.06690140845070422,0.06690140845070422,0.05985915492957746
52,0.05985915492957746,0.06338028169014084,0.05985915492957746
53,0.06338028169014084,0.06690140845070422,0.05985915492957746
54,0.06338028169014084,0.06338028169014084,0.05985915492957746
55,0.06338028169014084,0.07042253521126761,0.05985915492957746
56,0.06338028169014084,0.06690140845070422,0.05985915492957746
57,0.06690140845070422,0.07042253521126761,0.05985915492957746
58,0.06338028169014084,0.07042253521126761,0.05985915492957746
59,0.07042253521126761,0.07042253521126761,0.06690140845070422
60,0.06690140845070422,0.06690140845070422,0.06338028169014084
61,0.06690140845070422,0.07746478873239436,0.06690140845070422
62,0.06690140845070422,0.07042253521126761,0.06338028169014084
63,0.07042253521126761,0.08098591549295775,0.06338028169014084
64,0.07042253521126761,0.07042253521126761,0.056338028169014086
65,0.07042253521126761,0.08450704225352113,0.06690140845070422
66,0.06690140845070422,0.07394366197183098,0.06338028169014084
67,0.07394366197183098,0.08098591549295775,0.08098591549295775
68,0.07394366197183098,0.07746478873239436,0.07042253521126761
69,0.07746478873239436,0.08098591549295775,0.08450704225352113
70,0.07746478873239436,0.07746478873239436,0.07746478873239436
71,0.07746478873239436,0.0880281690140845,0.0880281690140845
72,0.07746478873239436,0.08450704225352113,0.07746478873239436
73,0.08450704225352113,0.08450704225352113,0.09154929577464789
74,0.08098591549295775,0.08098591549295775,0.0880281690140845
75,0.08098591549295775,0.09154929577464789,0.09154929577464789
76,0.08098591549295775,0.0880281690140845,0.09154929577464789
77,0.0880281690140845,0.09154929577464789,0.09154929577464789
78,0.0880281690140845,0.0880281690140845,0.0880281690140845
79,0.0880281690140845,0.09154929577464789,0.10211267605633803
80,0.08450704225352113,0.09154929577464789,0.10211267605633803
81,0.09154929577464789,0.09154929577464789,0.10211267605633803
82,0.09154929577464789,0.09154929577464789,0.10211267605633803
83,0.09154929577464789,0.09154929577464789,0.1056338028169014
84,0.09154929577464789,0.09154929577464789,0.10211267605633803
85,0.09154929577464789,0.09154929577464789,0.10211267605633803
86,0.0880281690140845,0.0880281690140845,0.10211267605633803
87,0.0880281690140845,0.09154929577464789,0.10211267605633803
88,0.08450704225352113,0.0880281690140845,0.10211267605633803
89,0.0880281690140845,0.0880281690140845,0.10211267605633803
90,0.08450704225352113,0.08450704225352113,0.10211267605633803
91,0.08450704225352113,0.0880281690140845,0.1056338028169014
92,0.08450704225352113,0.08450704225352113,0.10211267605633803
93,0.08450704225352113,0.0880281690140845,0.10915492957746478
94,0.08450704225352113,0.0880281690140845,0.1056338028169014
95,0.0880281690140845,0.0880281690140845,0.11267605633802817
96,0.08450704225352113,0.0880281690140845,0.10915492957746478
97,0.0880281690140845,0.0880281690140845,0.11267605633802817
98,0.08450704225352113,0.08450704225352113,0.1056338028169014
99,0.08450704225352113,0.0880281690140845,0.11267605633802817
100,0.08450704225352113,0.08450704225352113,0.10915492957746478
